LAP,GAS_TIME,GAS_TIME_(FUEL_CORRECTED),GAS_POSITION,GAS_POSITION_CHANGE,GAS_COMPOUND,GAS_STINT,GAS_PITSTOP,GAS_TIRE_LIFE,GAS_S1,GAS_S2,GAS_S3,GAS_SECTOR_SUM,GAS_STATUS,GAS_PERSONAL_BEST,COL_TIME,COL_TIME_(FUEL_CORRECTED),COL_POSITION,COL_POSITION_CHANGE,COL_COMPOUND,COL_STINT,COL_PITSTOP,COL_TIRE_LIFE,COL_S1,COL_S2,COL_S3,COL_SECTOR_SUM,COL_STATUS,COL_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Lap time adjusted for fuel load (lighter fuel = faster theoretical pace),Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Lap time adjusted for fuel load (lighter fuel = faster theoretical pace),Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
15,75.877,73.51080282,8,0,SOFT,1,FALSE,18,19.333,39.328,17.216,75.87700000000001,1,FALSE,76.704,74.33780282,15,0,MEDIUM,1,FALSE,15,19.516,39.707,17.481,76.70400000000001,1,FALSE
16,75.955,73.63105633802817,8,0,SOFT,1,FALSE,19,19.438,39.293,17.224,75.955,1,FALSE,76.245,73.92105633802818,15,0,MEDIUM,1,FALSE,16,19.421,39.415,17.409,76.245,1,FALSE
17,76.148,73.86630985915492,7,1,SOFT,1,FALSE,20,19.364,39.613,17.171,76.148,1,FALSE,76.103,73.82130985915492,15,0,MEDIUM,1,FALSE,17,19.426,39.3,17.377,76.103,1,FALSE
18,79.74,77.50056338028169,11,-4,SOFT,1,FALSE,21,19.223,39.232,21.285,79.74,1,FALSE,75.752,73.51256338028169,13,2,MEDIUM,1,FALSE,18,19.324,39.035,17.393,75.752,1,FALSE
19,92.147,89.94981690140845,16,-5,MEDIUM,2,TRUE,1,37.513,37.952,16.682,92.147,1,FALSE,75.867,73.66981690140845,11,2,MEDIUM,1,FALSE,19,19.455,39.083,17.329,75.86699999999999,1,FALSE
20,74.027,71.87207042253522,15,1,MEDIUM,2,FALSE,2,18.986,38.352,16.689,74.02699999999999,1,TRUE,75.94,73.78507042253521,10,1,MEDIUM,1,FALSE,20,19.404,39.202,17.334,75.94,1,TRUE
21,74.87,72.75732394366197,15,0,MEDIUM,2,FALSE,3,18.995,38.927,16.948,74.87,1,FALSE,75.943,73.83032394366197,10,0,MEDIUM,1,FALSE,21,19.324,39.169,17.45,75.943,1,FALSE
22,74.657,72.58657746478873,14,1,MEDIUM,2,FALSE,4,18.97,38.722,16.965,74.657,1,FALSE,76.161,74.09057746478874,9,1,MEDIUM,1,FALSE,22,19.544,39.267,17.35,76.161,1,FALSE
23,74.229,72.20083098591549,14,0,MEDIUM,2,FALSE,5,18.961,38.379,16.889,74.229,1,FALSE,76.066,74.03783098591549,10,-1,MEDIUM,1,FALSE,23,19.502,39.194,17.37,76.066,1,FALSE
24,74.78,72.79408450704226,14,0,MEDIUM,2,FALSE,6,19.102,38.615,17.063,74.78,1,FALSE,76.443,74.45708450704225,9,1,MEDIUM,1,FALSE,24,19.638,39.448,17.357,76.443,1,FALSE
